Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group,Predicted_Abs_Max_nm,Predicted_PCE_Percent
Lawsone_inspired,Ethene,Cyanoacrylic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]/C=C/[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=CC=CC1=C(O)C(=O)c2ccccc2C1=O)C(=O)O,Natural-derived,cyanoacrylate,408.8298677486483,6.794950000000004
Luteolin_inspired,Ethene,Benzoic_acid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]/C=C/[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C=Cc2cc3c(=O)cc(-c4ccc(O)c(O)c4)oc3cc2O)cc1,Natural-derived,carboxylic_acid,410.85154055527704,6.789
Lawsone_inspired,Ethene,Rhodanine-3-acetic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]/C=C/[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=CC=CC2=C(O)C(=O)c3ccccc3C2=O)C1=O,Natural-derived,carboxylic_acid,479.3195550033677,6.788150000000002
Plumbagin_inspired,Ethene,Barbituric_acid,CC1=C([At])C(=O)c2cccc(O)c2C1=O,[I]/C=C/[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],CC1=C(C=CC=C2C(=O)NC(=O)NC2=O)C(=O)c2cccc(O)c2C1=O,Natural-derived,,461.95433900980527,6.7867000000000015
Alizarin_inspired,Ethene,Acrylic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]/C=C/[Br],[Cl]C=CC(=O)O,O=C(O)C=CC=Cc1c(O)c(O)cc2c1C(=O)c1ccccc1C2=O,Natural-derived,carboxylic_acid,456.99311774138374,6.775550000000002
Peonidin_inspired,Ethene,Phosphonic_acid,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2[At])ccc1O,[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2C=CC=CP(=O)(O)O)ccc1O,Natural-derived,phosphonic_acid,417.54697668809246,6.773450000000002
Coumarin_dimethylamino,Thienothiophene,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CC(=O)O,CN(C)c1c(-c2cc3c(C=CC(=O)O)csc3s2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,413.73649357255687,6.772300000000005
Coumarin_dimethylamino,Bithiophene,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1-c2cc([Br])cs2,[Cl]C=CC(=O)O,CN(C)c1c(-c2ccsc2-c2cc(C=CC(=O)O)cs2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,421.64158985878385,6.7698500000000035
Purpurin_inspired,Pyrrole_N-methyl,Phosphonic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)c(O)c31,[I]c1ccn(C)c1[Br],[Cl]C=CP(=O)(O)O,Cn1ccc(-c2c(O)c(O)c(O)c3c2C(=O)c2ccccc2C3=O)c1C=CP(=O)(O)O,Natural-derived,phosphonic_acid,437.80372026144306,6.769400000000003
Curcumin_inspired,Pyrrole_N-methyl,Acrylic_acid,COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(O)cc2[At])ccc1O,[I]c1ccn(C)c1[Br],[Cl]C=CC(=O)O,COc1cc(C=CC(=O)C=Cc2cc(OC)c(O)cc2-c2ccn(C)c2C=CC(=O)O)ccc1O,Natural-derived,carboxylic_acid,408.4311578502266,6.768100000000003
Chrysin_inspired,Pyrrole_N-methyl,Phosphonic_acid,O=c1cc(-c2ccccc2)oc2cc(O)c([At])cc21,[I]c1ccn(C)c1[Br],[Cl]C=CP(=O)(O)O,Cn1ccc(-c2cc3c(=O)cc(-c4ccccc4)oc3cc2O)c1C=CP(=O)(O)O,Natural-derived,phosphonic_acid,402.9825086076921,6.7664000000000035
Bisdemethoxycurcumin_inspired,Thiophene,Rhodanine-3-acetic_acid,O=C(/C=C/c1ccc(O)cc1)/C=C/c2ccc(O)c([At])c2,[I]c1ccsc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(C=Cc1ccc(O)cc1)C=Cc1ccc(O)c(-c2ccsc2C=C2SC(=O)N(CC(=O)O)C2=O)c1,Natural-derived,carboxylic_acid,400.9437404945285,6.766200000000002
Curcumin_inspired,Thiophene,Rhodanine-3-acetic_acid,COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(O)cc2[At])ccc1O,[I]c1ccsc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,COc1cc(C=CC(=O)C=Cc2cc(OC)c(O)cc2-c2ccsc2C=C2SC(=O)N(CC(=O)O)C2=O)ccc1O,Natural-derived,carboxylic_acid,415.0130879040303,6.7652500000000035
Demethoxycurcumin_inspired,Pyrrole_N-methyl,Acrylic_acid,Oc1ccc(/C=C/C(=O)/C=C/c2cc(OC)c(O)cc2[At])cc1,[I]c1ccn(C)c1[Br],[Cl]C=CC(=O)O,COc1cc(C=CC(=O)C=Cc2ccc(O)cc2)c(-c2ccn(C)c2C=CC(=O)O)cc1O,Natural-derived,carboxylic_acid,409.1423708415576,6.762300000000003
Demethoxycurcumin_inspired,Furan,Rhodanine-3-acetic_acid,Oc1ccc(/C=C/C(=O)/C=C/c2cc(OC)c(O)cc2[At])cc1,[I]c1ccoc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,COc1cc(C=CC(=O)C=Cc2ccc(O)cc2)c(-c2ccoc2C=C2SC(=O)N(CC(=O)O)C2=O)cc1O,Natural-derived,carboxylic_acid,405.6284977132377,6.7618000000000045
