Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group
Coumarin_dimethylamino,Thiophene,Phosphonic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1[Br],[Cl]C=CP(=O)(O)O,CN(C)c1c(-c2ccsc2C=CP(=O)(O)O)ccc2oc(=O)ccc12,Natural-derived,phosphonic_acid
Coumarin_dimethylamino,Thiophene,Barbituric_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],CN(C)c1c(-c2ccsc2C=C2C(=O)NC(=O)NC2=O)ccc2oc(=O)ccc12,Natural-derived,None
Coumarin_dimethylamino,Benzene,Cyanoacrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,[Cl]C=C(C#N)C(=O)O,CN(C)c1c(-c2ccc(C=C(C#N)C(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,cyanoacrylate
Coumarin_dimethylamino,Benzene,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,[Cl]C=CC(=O)O,CN(C)c1c(-c2ccc(C=CC(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Benzene,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(-c2ccc(-c3ccc(C(=O)O)cc3)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Benzene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(-c2ccc(C=C3SC(=O)N(CC(=O)O)C3=O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Benzene,Phosphonic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,[Cl]C=CP(=O)(O)O,CN(C)c1c(-c2ccc(C=CP(=O)(O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,phosphonic_acid
Coumarin_dimethylamino,Benzene,Barbituric_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccc([Br])cc1,O=C1NC(=O)NC(=O)/C1=C/[Cl],CN(C)c1c(-c2ccc(C=C3C(=O)NC(=O)NC3=O)cc2)ccc2oc(=O)ccc12,Natural-derived,None
Coumarin_dimethylamino,Furan,Cyanoacrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccoc1[Br],[Cl]C=C(C#N)C(=O)O,CN(C)c1c(-c2ccoc2C=C(C#N)C(=O)O)ccc2oc(=O)ccc12,Natural-derived,cyanoacrylate
Coumarin_dimethylamino,Furan,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccoc1[Br],[Cl]C=CC(=O)O,CN(C)c1c(-c2ccoc2C=CC(=O)O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Furan,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccoc1[Br],[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(-c2ccoc2-c2ccc(C(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Furan,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccoc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(-c2ccoc2C=C2SC(=O)N(CC(=O)O)C2=O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Furan,Phosphonic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccoc1[Br],[Cl]C=CP(=O)(O)O,CN(C)c1c(-c2ccoc2C=CP(=O)(O)O)ccc2oc(=O)ccc12,Natural-derived,phosphonic_acid
