dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
WR1,metal_free_organic_candidate,2,3.145,3.45,7.1,675.0,0.665,,,TiO2,I−/I3−,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.synthmet.2013.02.010,Influence of thiophene and benzene unit in triphenylamine dyes on the performance of dye-sensitized solar cells
TA2,metal_free_candidate_uncertain,1,3.45,3.45,6.83,0.704,0.718,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2017.07.049,A new series of azobenzene-bridged metal-free organic dyes and application on DSSC
Dhkx-2,metal_free_candidate_uncertain,1,3.45,3.45,8.09,0.577,0.74,,,TiO2,I−/I3−,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2019.02.002,New semi-rigid triphenylamine donor moiety for D-π-A sensitizer: Theoretical and experimental investigations for DSSCs
Y1,metal_free_organic_candidate,6,2.4883,3.44,3.5517,271.6772,0.422,,[Y],TiO2,,FTO; glass,rsc,no_excluded_metal_keyword_detected; organic_keyword:cyanoacrylic,10.1039/C4RA09472G; 10.1039/C4TA05350H; 10.1039/C7SE00362E,"Effects of various π-conjugated spacers in thiadiazole[3,4- c ]pyridine-cored panchromatic organic dyes for dye-sensitized solar cells   | Panchromatic absorption of dye sensitized solar cells by co-Sensitization of triple organic dyes  | Stability of ruthenium/organic dye co-sensitized solar cells: a joint experimental and computational investigation  "
DCR-3,metal_free_candidate_uncertain,2,3.27,3.44,7.395,0.663,0.6615,,,,,,elsevier; rsc,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2014.03.010; 10.1039/C9NJ00939F,"Organic dyes containing 2-(1,1-dicyanomethylene)rhodanine as an efficient electron acceptor and anchoring unit for dye-sensitized solar cells | Rhodanine-based light-harvesting sensitizers: a rational comparison between 2-(1,1-dicyanomethylene)rhodanine and rhodanine-3-acetic acid  "
3.44 ( 316 ),metal_free_candidate_uncertain,1,3.44,3.44,3.44,3.44,3.44,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2009.06.017,An efficient light-harvesting ruthenium dye for solar cell application
"S,N - CDs",metal_free_candidate_uncertain,1,3.44,3.44,14.07,0.61,0.4,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.molliq.2019.112413,"Performance improvement of dye sensitized solar cells based on cadmium sulfide/S, N co doped carbon dots nanocomposites"
XS7,metal_free_organic_candidate,1,3.43,3.43,8.2,644.0,0.65,,,,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.tet.2010.02.095,Synthesis of sensitizers containing donor cascade of triarylamine and dimethylarylamine moieties for dye-sensitized solar cells
CSD-08 + CDCA,metal_free_candidate_uncertain,1,3.43,3.43,11.01,0.513,60.7,,,TiO2,,glass,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2019.107840,Blue-colored dyes featuring a diketopyrrolopyrrole spacer for translucent dye-sensitized solar cells
T-1,metal_free_organic_candidate,1,3.43,3.43,7.47,643.0,71.43,,C1=C(C(=CC(=C1Cl)Cl)Cl)C(=O)O,TiO2,,,elsevier,metal_free_smiles_screen,10.1016/j.dyepig.2019.108029,Axial-symmetric conjugated group promoting intramolecular charge transfer performances of triphenylamine sensitizers for dye-sensitized solar cells
